Curriculum,CS,,,,,,,
Institution,Monterey Bay,,,,,,,
Degree Type,BS,,,,,,,
System Type,semester,,,,,,,
CIP,11.0701,,,,,,,
Courses,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution
1,Precalculus,MATH,130,,,,5,
2,Calculus I,MATH,150,1,,,4,
3,Calculus II,MATH,151,2,,,4,
4,Discrete Mathematics,MATH,170,1,,,4,
5,Problm-Solving/Programng,CST,231,,,,4,
6,Intro to Computer Architecture,CST,237,5,,,4,
7,Introduction to Data Structures,CST,238,5,,,4,
8,Multimedia Design and Programming,CST,205,,,,4,
