Curriculum,CS,,,,,,,
Institution,Cal Poly SLO,,,,,,,
Degree Type,BS,,,,,,,
System Type,quarter,,,,,,,
CIP,11.0701,,,,,,,
Courses,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution
1,Precalculus Algebra II,MATH,117,,,,3,
2,Calculus I,MATH,141,1,,,4,
3,Calculus II,MATH,142,2,,,4,
4,Calculus III,MATH,143,3,,,4,
5,Linear Algebra I,MATH,206,4,,,4,
6,Introduction to Cell and Molecular Biology,BIO,161,,,,4,
7,Philosophical Classics: Knowledge and Reality,PHIL,230,,,,4,
8,General Biology,BIO,111,,,,4,
9,General Physics I,PHYS,141,2,3,,4,
10,General Physics II,PHYS,142,9,,,4,
11,General Physics III,PHYS,143,9,,,4,
12,Fundamentals of Computer Science,CSC,101,1,,,4,
13,Introduction to Computing,CSC,123,,,,4,
14,Data Structures,CSC,202,12,,,4,
15,Project-Based Object-Oriented Programming and Design,CSC,203,14,,,4,
16,Introduction to Computer Organization,CSC,225,14,,,4,
17,Discrete Structures,CSC,248,14;15,,,4,
