UCR	[['CS 11 - Intro to Discrete Structures (4.00)']]	[['CS 011/MATH 011 - Intro to Discrete Structures (4.00)']]
UCR	[['MATH 9A - First-Year Calculus (4.00) & MATH 9B - First-Year Calculus (4.00) & MATH 9C - First-Year Calculus (4.00)']]	"[['MATH 009A - First Year Calculus (4.00)', 'MATH 009B - First Year Calculus (4.00)', 'MATH 009C - First Year Calculus (4.00)']]"
UCR	[['PHYS 40A - General Physics (5.00)']]	[['PHYS 040A - Physics (Mechanics) (5.00)']]
UCSB	[['MATH 3A - Calculus with Applications, First Course (4.00)', 'MATH 3B - Calculus with Applications Second Course (4.00)']]	[['Math 3A, 3B - Calculus with Applications, Courses 1-2 (8.00)']]
UCSB	[['MATH 4A - Linear Algebra with Applications (4.00)', 'MATH 4B - Differential Equations (4.00)']]	"[['Math 4A, 4B - Linear Algebra with Applications; Differential Equations (8.00)']]"
UCSB	[['CMPSC 16 - Problem Solving with Computers I (4.00)']]	[['CMPSC 16 - Problem Solving with Computers I (4.00)']]
UCSB	[['CMPSC 24 - Problem Solving with Computers II (4.00)']]	[['CMPSC 24 - Problem Solving with Computers II (4.00)']]
UCSB	[['CMPSC 40 - Foundations of Computer Science (5.00)']]	[['CMPSC 40 - Foundations of Computer Science (5.00)']]
UCSB	[['PHYS 1 - Basic Physics (4.00)', 'PHYS 2 - Basic Physics (4.00)', 'PHYS 3 - Basic Physics (3.00) & PHYS 3L - Physics Laboratory (1.00)']]	"[['PHYS 1 - Basic Physics (4.00)', 'PHYS 2 - Basic Physics (4.00)', 'PHYS 3 - Basic Physics (3.00)', 'PHYS 3L - Physics Laboratory (1.00)']]"
UCSC	[['CSE 30 - Programming Abstractions: Python (7.00)']]	[['CSE 30 - Programming Abstractions: Python (7.00)']]
UCSC	[['CSE 13S - Computer Systems and C Programming (7.00)']]	[['CSE 13S - Computer Systems and C Programming (7.00)']]
UCSC	[['CSE 12 - Computer Systems and Assembly Language and Lab (7.00)']]	[['CSE 12 - Computer Systems and Assembly Language and Lab (7.00)']]
UCSC	[['CSE 16 - APPLIED DISCRETE MATHEMATICS (5.00)']]	[['CSE 16 - Applied Discrete Mathematics (5.00)']]
UCSC	[['MATH 19A - Calculus for Science, Engineering, and Mathematics (5.00)', 'MATH 19B - Calculus for Science, Engineering, and Mathematics (5.00)']]	"[['MATH 19A - Calculus for Science, Engineering, and Mathematics (5.00)', 'MATH 19B - Calculus for Science, Engineering, and Mathematics (5.00)'], ['MATH 20A - Honors Calculus (5.00)', 'MATH 20B - Honors Calculus (5.00)']]"
UCI	[['I&C SCI 31 - Introduction to Programming (4.00) & I&C SCI 32 - Programming with Software Libraries (4.00) & I&C SCI 33 - Intermediate Programming (4.00)']]	"[['I&C SCI 31- 32- 33 - Introduction to Programming', 'Programming with Software Libraries', 'Intermediate Programming'], ['I&C SCI 32A- 33 - Python Programming', 'Libraries (Accelerated)', 'Intermediate Programming']]"
UCI	"[['MATH 2A - Single-Variable Calculus (4.00)', 'MATH 2B - Single-Variable Calculus (4.00)']]"	"[['MATH 2A- 2B - Single-Variable Calculus I', 'Single-Variable Calculus II']]"
UCI	[['MATH 3A - Introduction to Linear Algebra (4.00)']]	"[['I&C SCI 6N - Computational Linear Algebra'], ['MATH 3A - Introduction to Linear Algebra']]"
UCD	[['ECS 020 - Discrete Mathematics For Computer Science (4.00)']]	[['ECS 20 - Discrete Mathematics for Computer Science (4.00)']]
UCD	[['ECS 036A - Programming & Problem Solving (4.00)']]	"[['ECS 36A - Programming & Problem Solving (4.00)'], ['ECS 32A - Introduction to Programming']]"
UCD	[['ECS 036B - Software Development & Object-Oriented Programming in C++ (4.00)']]	"[['ECS 36B - Software Development & Object-Oriented Programming in C++ (4.00)', 'ECS 36C - Data Structures, Algorithms, & Programming (4.00)'], ['ECS 32B - Introduction to Data Structures (4.00)', 'ECS 32C - Implementation of Data Structures in C (4.00)', 'ECS 34 - Software Development in UNIX & C++ (4.00)']]"
UCD	"[['ECS 036C - Data Structures, Algorithms, & Programming (4.00)']]"	"[['ECS 36B - Software Development & Object-Oriented Programming in C++ (4.00)', 'ECS 36C - Data Structures, Algorithms, & Programming (4.00)'], ['ECS 32B - Introduction to Data Structures (4.00)', 'ECS 32C - Implementation of Data Structures in C (4.00)', 'ECS 34 - Software Development in UNIX & C++ (4.00)']]"
UCD	[['ECS 050 - Computer Organization & Machine-Dependent Programming (4.00)']]	[['ECS 50 - Computer Organization & Machine Dependent Programming (4.00)']]
UCD	[['MAT 021A - Calculus (4.00)']]	[['MAT 21A - Calculus (4.00)']]
UCD	[['MAT 021B - Calculus (4.00)']]	[['MAT 21B - Calculus (4.00)']]
UCD	[['MAT 021C - Calculus (4.00)']]	[['MAT 21C - Calculus (4.00)']]
UCD	[['MAT 022A - Linear Algebra (3.00)']]	"[['MAT 22A - Linear Algebra (3.00)'], ['MAT 27A - Linear Algebra with Applications to Biology (4.00)'], ['MAT 67 - Modern Linear Algebra (4.00)']]"
UCD	[['BIS 002A - Introduction to Biology: Essentials of Life on Earth (5.00)']]	[['PHY 9A - Classical Physics (5.00)']]
UCD	[['BIS 002B - Introduction to Biology: Principles of Ecology & Evolution (5.00)']]	[['PHY 9B - Classical Physics (5.00)']]
UCD	[['BIS 002C - Introduction to Biology: Biodiversity & the Tree of Life (5.00)']]	[['PHY 9C - Classical Physics (5.00)']]
UCM	[['CSE 020 - Introduction to Computing I (2.00)']]
UCM	[['CSE 021 - Introduction to Computing II (2.00)']]
UCM	[['CSE 020 - Introduction to Computing I (2.00) & CSE 021 - Introduction to Computing II (2.00)']]
UCM	[['MATH 021 - Calculus I for Physical Sciences & Engineering (4.00)']]	[['MATH 021 - Calculus I for Physical Sciences and Engineering (4.00)']]
UCM	[['MATH 022 - Calculus II for Physical Sciences & Engineering (4.00)']]	[['MATH 022 - Calculus II for Physical Sciences and Engineering (4.00)']]
UCM	[['MATH 023 - Vector Calculus (4.00)']]	"[['MATH 023 - Vector Calculus (4.00)'], ['MATH 023H - Honors Vector Calculus']]"
UCM	[['MATH 024 - Linear Algebra and Differential Equations (4.00)']]	[['MATH 024 - Linear Algebra and Differential Equations (4.00)']]
UCM	[['PHYS 008 - Introductory Physics I for Physical Sciences (3.00) & PHYS 008L - Introductory Physics I for Physical Sciences Lab (1.00)']]	"[['PHYS 008 - Introductory Physics I for Physical Sciences (3.00)', 'PHYS 008L - Introductory Physics I for Physical Sciences Lab (1.00)']]"
