CSUF\t[['MATH 150A - Calculus I (4.00)']]\t[['MATH 150A - Calculus I (4.00)']]
CSUF\t[['MATH 150B - Calculus II (4.00)']]\t[['MATH 150B - Calculus II (4.00)']]
CSUF\t[['MATH 170A - Mathematical Structures I (3.00)']]\t[['MATH 170A - Mathematical Structures I (3.00)']]
CSUF\t[['MATH 170B - Mathematical Structure II (3.00)']]\t[['MATH 170B - Mathematical Structures II (3.00)']]
CSUF\t[['MATH 338 - Stat Appl to Natural Sci (4.00)']]\t[['MATH 338 - Statistics Applied to Natural Sciences (4.00)']]
CSUF\t[['CPSC 120 - Introduction to Programming (3.00)']]\t[['CPSC 120 - Introduction to Programming (3.00)']]
CSUF\t[['CPSC 121 - Object-Oriented Programming (3.00)']]\t[['CPSC 121 - Object-Oriented Programming (3.00)']]
CSUF\t[['CPSC 131 - Data Structures (3.00)']]\t[['CPSC 131 - Data Structures (3.00)']]
CSUF\t[['CPSC 240 - Computer Organization & Assembly Language (3.00)']]\t[['CPSC 240 - Computer Organization and Assembly Language (3.00)']]
CSUF\t[['CPSC 253 - Cybersecurity Foundations and Principles (3.00)']]\t[['CPSC 253 - Cybersecurity Foundations and Principles (3.00)']]
CSUF\t[['CPSC 223C - C Programming (3.00)'], ['CPSC 223J - Java Programming (3.00)'], ['CPSC 223N - Visual C# Programming (3.00)'], ['CPSC 223P - Python Programming (3.00)']]\t[['CPSC 223C - C Programming (3.00)'], ['CPSC 223J - Java Programming (3.00)'], ['CPSC 223N - Visual C# Programming (3.00)'], ['CPSC 223P - Python Programming (3.00)']]
CSUF\t[['']]
