Campus	cip_cd_fmy_cd	2 digit name	CIP 4 digit	4 digit name	2017-18	2018-19	2019-20	2020-21	2021-22	2022-23*
			50.07	Fine and Studio Arts	1	1	1	1		2
	52	BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES	52.13	Management Sciences and Quantitative Methods			2		1	
	54	HISTORY	54.01	History		2		2		2
UCSC	03	NATURAL RESOURCES AND CONSERVATION	03.01	Natural Resources Conservation and Research						1
	05	AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES	05.02	Ethnic, Cultural Minority, Gender, and Group Studies	1					
	11	COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES	11.01	Computer and Information Sciences, General			1			
	16	FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS	16.01	Linguistic, Comparative, and Related Language Studies and Services				1		
	23	ENGLISH LANGUAGE AND LITERATURE/LETTERS	23.99	English Language and Literature/Letters, Other				1		2
	26	BIOLOGICAL AND BIOMEDICAL SCIENCES	26.01	Biology, General		1	1	1		
			26.04	Cell/Cellular Biology and Anatomical Sciences	2					
			26.13	Ecology, Evolution, Systematics, and Population Biology			1			
	30	MULTI/INTERDISCIPLINARY STUDIES	30.99	Multi/Interdisciplinary Studies, Other			3			
	42	PSYCHOLOGY	42.01	Psychology, General		2		1	3	
	44	PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS	44.02	Community Organization and Advocacy			1	1		
	45	SOCIAL SCIENCES	45.02	Anthropology		2			1	
			45.06	Economics			2			
			45.10	Political Science and Government	1	2	1		1	
			45.11	Sociology		1	1		2	
	50	VISUAL AND PERFORMING ARTS	50.04	Design and Applied Arts					1	
			50.06	Film/Video and Photographic Arts			1			
			50.07	Fine and Studio Arts	1					
	52	BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES	52.06	Business/Managerial Economics						1
	54	HISTORY	54.01	History			1	1	1	
UCSD			 				1			
	09	COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS	09.01	Communication and Media Studies	1		1	1		
	14	ENGINEERING	14.19	Mechanical Engineering		1				
	26	BIOLOGICAL AND BIOMEDICAL SCIENCES	26.01	Biology, General			1		1	
			26.02	Biochemistry, Biophysics and Molecular Biology	1					
			26.04	Cell/Cellular Biology and Anatomical Sciences	1	1	1			1
	27	MATHEMATICS AND STATISTICS	27.01	Mathematics	1					
	30	MULTI/INTERDISCIPLINARY STUDIES	30.20	International/Globalization Studies					1	
			30.25	Cognitive Science	1				1	
	40	PHYSICAL SCIENCES	40.05	Chemistry						1
			40.08	Physics					1	
			40.99	Physical Sciences, Other			1			
	42	PSYCHOLOGY	42.01	Psychology, General		1				2
			42.28	Clinical, Counseling and Applied Psychology	1					
	45	SOCIAL SCIENCES	45.02	Anthropology	1					
			45.06	Economics	1	1		1		
			45.10	Political Science and Government			1			1
			45.11	Sociology	1					
	50	VISUAL AND PERFORMING ARTS	50.05	Drama/Theatre Arts and Stagecraft	1					
	51	HEALTH PROFESSIONS AND RELATED PROGRAMS	51.22	Public Health	1					
	52	BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES	52.13	Management Sciences and Quantitative Methods			1			
Grand Total					62	76	70	73	67	54
