,UC_Davis,,,,,,,,,,,,,
,UC Davis,,,,,,,,,,,,,
,BS,,,,,,,,,,,,,
,quarter,,,,,,,,,,,,,
,11.0701,,,,,,,,,,,,,
Residual Complexity Total:,23.4,,,,,,,,,,,,,
Graduation Complexity Total:,166.79999999999998,,,,,,,,,,,,,
Residual Difference:,143.39999999999998,,,,,,,,,,,,,,

Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,Source
1.0,Calculus,MAT,021A,,,,4.0,,,15.3,16.0,7.0,0.0,,Graduation
2.0,Calculus,MAT,021B,1,,,4.0,,,8.7,6.0,7.0,10.0,,Graduation
5.0,Discrete Mathematics For Computer Science,ECS,20,1,,,4.0,,,10.7,11.0,5.0,31.0,,Graduation
6.0,Introduction to Programming,ECS,032A,,,,4.0,,,14.0,14.0,7.0,0.0,,Graduation
7.0,Programming & Problem Solving,ECS,036A,6,,,4.0,,,13.3,13.0,7.0,47.0,,Graduation
8.0,Software Development & Object-Oriented Programming in C++,ECS,036B,7,,,4.0,,,12.7,12.0,7.0,47.0,,Graduation
9.0,"Data Structures, Algorithms, & Programming",ECS,036C,5;8,,,4.0,,,8.7,7.0,6.0,44.0,,Graduation
10.0,Computer Organization & Machine-Dependent Programming,ECS,50,8,,,4.0,,,8.0,5.0,7.0,13.0,,Graduation
