,CSU_San_Marcos,,,,,,,,,,,,,
,CSU San Marcos,,,,,,,,,,,,,
,BS,,,,,,,,,,,,,
,semester,,,,,,,,,,,,,
,11.0701,,,,,,,,,,,,,
Residual Complexity Total:,44.0,,,,,,,,,,,,,
Graduation Complexity Total:,229.0,,,,,,,,,,,,,
Residual Difference:,185.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,Source
1.0,Pre-Calculus,MATH,125,,,,4.0,,,28.0,21.0,7.0,0.0,Graduation
2.0,"Calculus with Applications, I",MATH,160,1,,,5.0,,,27.0,20.0,7.0,79.0,Graduation
8.0,Computer Science I,CS,111,2,,,4.0,,,21.0,14.0,7.0,60.0,Graduation
9.0,Computer Science II,CS,211,8,,,4.0,,,15.0,8.0,7.0,38.0,Graduation
10.0,Assembly Language and Digital Circuits,CS,231,8,,,4.0,,,13.0,6.0,7.0,18.0,Graduation
12.0,Data Structures and Algorithms,CS,311,9,,,3.0,,,14.0,7.0,7.0,32.0,Graduation
12.0,Data Structures and Algorithms,CS,311,,,,3.0,,,10.0,7.0,3.0,0.0,Residual
