,SanFranciscoActual,,,,,,,,,,,,,
,San Francisco State,,,,,,,,,,,,,
,BS,,,,,,,,,,,,,
,semester,,,,,,,,,,,,,
,11.0701,,,,,,,,,,,,,
Residual Complexity Total:,54.0,,,,,,,,,,,,,
Graduation Complexity Total:,324.0,,,,,,,,,,,,,
Residual Difference:,270.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,Source
1.0,Pre-Calculus,MATH,199,,,,4.0,,,29.0,22.0,7.0,0.0,Graduation
2.0,Calculus I,MATH,226,1,,,4.0,,,28.0,21.0,7.0,169.0,Graduation
3.0,Calculus II,MATH,227,2,,,4.0,,,18.0,11.0,7.0,91.0,Graduation
4.0,Probability and Statistics with Computing,MATH,324,3,,,4.0,,,12.0,6.0,6.0,24.0,Graduation
5.0,General Physics with Calculus I,PHYS,220,2,,6,3.0,,,11.0,5.0,6.0,33.0,Graduation
6.0,General Physics with Calculus I Laboratory,PHYS,222,,,,1.0,,,11.0,6.0,5.0,0.0,Graduation
8.0,General Physics with Calculus II Laboratory,PHYS,232,,,,1.0,,,9.0,5.0,4.0,0.0,Graduation
11.0,Computer Programming,CSC,309,2,,,3.0,,,20.0,13.0,7.0,57.0,Graduation
12.0,Introduction to Computer Programming,CSC,210,,,13,3.0,,,16.0,10.0,6.0,45.0,Graduation
13.0,Introduction to Software Lab,CSC,211,,,,1.0,,,17.0,11.0,6.0,0.0,Graduation
14.0,Data Structures,CSC,220,11,,,3.0,,,19.0,12.0,7.0,57.0,Graduation
15.0,Discrete Mathematical Structures for Computer Science,CSC,230,12;3,,,3.0,,,15.0,8.0,7.0,91.0,Graduation
19.0,Programming Methodology,CSC,340,15;14,,,3.0,,,13.0,6.0,7.0,80.0,Graduation
4.0,Probability and Statistics with Computing,MATH,324,,,,4.0,,,9.0,6.0,3.0,0.0,Residual
19.0,Programming Methodology,CSC,340,,,,3.0,,,9.0,6.0,3.0,0.0,Residual
