University,Values
UCI,3
UCI,3
UCI,3
UCI,3
UCI,3
UCI,2
UCI,2
UCI,2
UCI,2
UCI,3
UCI,2
UCI,3
UCI,3
UCI,2
UCI,2
UCI,3
UCI,3
UCI,3
UCI,2
UCI,2
UCI,3
UCI,3
UCI,3
UCI,3
UCI,2
UCI,3
UCI,3
UCI,3
UCI,3
UCI,2
UCI,2
UCI,2
UCI,3
UCI,3
UCI,2
UCI,2
UCI,3
UCI,3
UCI,3
UCI,2
UCI,3
UCI,2
UCI,3
UCI,1
UCI,3
UCI,3
UCI,3
UCI,1
UCI,3
UCI,3
UCI,3
UCI,3
UCI,2
UCI,2
UCI,3
UCI,2
UCI,3
UCI,3
UCI,1
UCI,2
UCI,2
UCI,3
UCI,2
UCI,2
UCI,3
UCI,3
UCI,2
UCI,2
UCI,3
UCI,3
UCI,2
UCI,2
UCI,2
UCI,3
UCI,2
UCI,3
UCI,3
UCI,2
UCI,3
UCI,2
UCI,3
UCI,2
UCI,2
UCI,2
UCI,3
UCI,3
UCI,3
UCI,3
UCI,2
UCI,3
UCI,1
UCI,2
UCI,3
UCI,2
UCI,2
UCI,3
UCI,2
UCI,3
UCI,2
UCI,3
UCI,3
UCI,2
UCI,2
UCI,3
UCI,3
UCI,2
UCI,3
UCI,3
UCI,2
UCI,2
UCI,3
UCI,3
UCI,3
UCI,3
UCB,4
UCB,3
UCB,3
UCB,5
UCB,2
UCB,2
UCB,2
UCB,2
UCB,3
UCB,3
UCB,2
UCB,2
UCB,4
UCB,1
UCB,2
UCB,2
UCB,3
UCB,5
UCB,3
UCB,4
UCB,3
UCB,3
UCB,2
UCB,2
UCB,3
UCB,2
UCB,2
UCB,4
UCB,4
UCB,3
UCB,2
UCB,3
UCB,3
UCB,3
UCB,3
UCB,2
UCB,2
UCB,2
UCB,3
UCB,4
UCB,3
UCB,3
UCB,2
UCB,3
UCB,1
UCB,2
UCB,3
UCB,3
UCB,2
UCB,3
UCB,2
UCB,3
UCB,3
UCB,2
UCB,2
UCB,4
UCB,4
UCB,3
UCB,2
UCB,2
UCB,2
UCB,3
UCB,4
UCB,2
UCB,2
UCB,2
UCB,3
UCB,3
UCB,2
UCB,2
UCB,4
UCB,2
UCB,2
UCB,2
UCB,2
UCB,2
UCB,3
UCB,2
UCB,2
UCB,2
UCB,2
UCB,3
UCB,3
UCB,4
UCB,2
UCB,2
UCB,3
UCB,4
UCB,3
UCB,2
UCB,2
UCB,2
UCB,3
UCB,3
UCB,2
UCB,3
UCB,3
UCB,2
UCB,2
UCB,3
UCB,3
UCB,2
UCB,3
UCB,4
UCB,3
UCB,3
UCB,3
UCB,3
UCB,3
UCB,2
UCB,2
UCB,3
UCB,3
UCB,3
UCSD,7
UCSD,5
UCSD,6
UCSD,7
UCSD,4
UCSD,5
UCSD,4
UCSD,4
UCSD,5
UCSD,6
UCSD,6
UCSD,5
UCSD,8
UCSD,4
UCSD,5
UCSD,5
UCSD,7
UCSD,6
UCSD,6
UCSD,4
UCSD,5
UCSD,8
UCSD,7
UCSD,6
UCSD,4
UCSD,5
UCSD,8
UCSD,5
UCSD,5
UCSD,7
UCSD,4
UCSD,8
UCSD,7
UCSD,7
UCSD,5
UCSD,6
UCSD,5
UCSD,8
UCSD,8
UCSD,7
UCSD,4
UCSD,6
UCSD,7
UCSD,1
UCSD,5
UCSD,6
UCSD,4
UCSD,3
UCSD,6
UCSD,4
UCSD,4
UCSD,6
UCSD,5
UCSD,4
UCSD,7
UCSD,5
UCSD,5
UCSD,7
UCSD,2
UCSD,4
UCSD,4
UCSD,6
UCSD,4
UCSD,4
UCSD,4
UCSD,8
UCSD,6
UCSD,5
UCSD,7
UCSD,8
UCSD,4
UCSD,8
UCSD,4
UCSD,7
UCSD,4
UCSD,6
UCSD,7
UCSD,5
UCSD,8
UCSD,7
UCSD,7
UCSD,5
UCSD,6
UCSD,5
UCSD,5
UCSD,8
UCSD,8
UCSD,5
UCSD,3
UCSD,8
UCSD,2
UCSD,5
UCSD,8
UCSD,4
UCSD,7
UCSD,6
UCSD,4
UCSD,5
UCSD,6
UCSD,8
UCSD,5
UCSD,5
UCSD,8
UCSD,7
UCSD,8
UCSD,6
UCSD,7
UCSD,7
UCSD,3
UCSD,4
UCSD,5
UCSD,6
UCSD,5
UCSD,6
UCM,8
UCM,7
UCM,7
UCM,7
UCM,7
UCM,7
UCM,7
UCM,7
UCM,7
UCM,7
UCM,7
UCM,9
UCM,7
UCM,7
UCM,6
UCM,7
UCM,7
UCM,8
UCM,7
UCM,7
UCM,7
UCM,7
UCM,7
UCM,8
UCM,7
UCM,7
UCM,7
UCM,7
UCM,7
UCM,7
UCM,7
UCM,7
UCM,7
UCM,7
UCM,7
UCM,8
UCM,7
UCM,7
