University,Values
CSUSB,8
CSUSB,8
CSUSB,7
CSUSB,8
CSUSB,8
CSUSB,7
CSUSB,8
CSUSB,8
CSUSB,8
CSUSB,8
CSUSB,1
CSUSB,8
CSUSB,8
CSUSB,8
CSUSB,8
CSUSB,8
CSUSB,8
CSUSB,8
CSUSB,8
CSUSB,8
CSUSB,8
CSUSB,8
CSUSB,8
CSUSB,8
CSUSB,8
CSUSB,8
CSUDH,7
CSUDH,6
CSUDH,3
CSUDH,7
CSUDH,4
CSUDH,7
CSUDH,7
CSUDH,5
CSUDH,7
CSUDH,7
CSUDH,7
CSUDH,6
CSUDH,7
CSUDH,7
CSUDH,5
CSUDH,6
CSUDH,3
CSUDH,7
CSUDH,7
CSUDH,7
CSUDH,6
CSUDH,6
CSUDH,6
CSUDH,5
CSUDH,7
CSUDH,7
CSUDH,7
CSUDH,7
CSUDH,5
CSUDH,7
CSUDH,7
CSUDH,6
CSUDH,7
CSUDH,7
CSUEB,7
CSUEB,7
CSUEB,8
CSUEB,8
CSUEB,8
CSUEB,8
CSUEB,3
CSUEB,6
CSUEB,5
CSUEB,5
CSUEB,5
CSUEB,6
CSUEB,8
CSUEB,9
CSUEB,3
CSUEB,4
CSUEB,4
CSUEB,8
CSUEB,8
CSUEB,3
CSUEB,5
CSUEB,8
CSUEB,6
CSUEB,3
CSUEB,8
CSUEB,8
CSUEB,4
CSUEB,3
CSUEB,8
CSUEB,5
CSUEB,5
CSUEB,4
CSUEB,3
CSUEB,8
CSUEB,6
CSUEB,7
CSUEB,8
CSUEB,6
CSUEB,4
CSUEB,6
CSUEB,7
CSUEB,8
CSUEB,7
CSUEB,7
CSUEB,8
CSUEB,6
CSUEB,1
CSUEB,4
CSUEB,5
CSUEB,5
CSUEB,3
CSUEB,8
CSUEB,6
CSUEB,4
CSUEB,4
CSUEB,8
CSUEB,3
CSUEB,6
CSUEB,8
CSUEB,5
CSUEB,8
CSUEB,2
CSUEB,3
CSUEB,8
CSUEB,4
CSUEB,3
CSUEB,7
CSUEB,4
CSUEB,5
CSUEB,8
CSUEB,8
CSUEB,6
CSUEB,9
CSUEB,4
CSUEB,5
CSUEB,8
CSUEB,4
CSUEB,8
CSUEB,5
CSUEB,5
CSUEB,3
CSUEB,5
CSUEB,3
CSUEB,5
CSUEB,8
CSUEB,5
CSUEB,4
CSUEB,4
CSUEB,3
CSUEB,8
CSUEB,4
CSUEB,3
CSUEB,5
CSUEB,3
CSUEB,8
CSUEB,5
CSUEB,3
CSUEB,8
CSUEB,8
CSUEB,4
CSUEB,4
CSUEB,8
CSUEB,6
CSUEB,6
CSUEB,7
CSUEB,5
CSUEB,5
CSUEB,7
CSUEB,5
CSUEB,8
CSUEB,8
CSUEB,3
CSUEB,3
CSUEB,5
CSUEB,6
CSUEB,3
CSUEB,3
CSUStan,4
CSUStan,1
CSUStan,1
CSUStan,2
CSUStan,5
CSUStan,3
CSUStan,1
CSUStan,5
CSUStan,4
CSUStan,2
