Community College	Median coverage	Max coverage	Min coverage	Q1	Q2	IQR
Cabrillo College	0.8333333333333334	1.0	0.0	0.6573498964803313	1.0	0.34265010351966874
Diablo Valley College	0.8166666666666667	1.0	0.0	0.5833333333333333	0.9880952380952381	0.4047619047619049
Cosumnes River College	0.7697368421052632	1.0	0.25	0.6381987577639752	0.9201680672268907	0.28196930946291554
American River College	0.7692307692307693	1.0	0.0	0.6573498964803313	0.9761904761904762	0.3188405797101449
Las Positas College	0.75	1.0	0.0	0.5357142857142857	1.0	0.4642857142857143
Foothill College	0.75	1.0	0.0	0.5714285714285714	0.8333333333333334	0.261904761904762
Santa Rosa Junior College	0.75	1.0	0.0	0.47619047619047616	0.9523809523809523	0.47619047619047616
Monterey Peninsula College	0.7361111111111112	1.0	0.0	0.46616541353383456	0.8571428571428571	0.39097744360902253
Irvine Valley College	0.7222222222222222	1.0	0.0	0.42647058823529416	0.9053708439897699	0.4789002557544757
Palomar College	0.7182539682539683	1.0	0.0	0.5892857142857143	1.0	0.4107142857142857
City College of San Francisco	0.7182539682539683	1.0	0.0	0.47619047619047616	1.0	0.5238095238095238
Ohlone College	0.7182539682539683	1.0	0.0	0.32794117647058824	0.9285714285714285	0.6006302521008402
Sacramento City College	0.7182539682539683	1.0	0.0	0.5054347826086957	0.9201680672268907	0.41473328461819503
Cerritos College	0.7182539682539683	1.0	0.0	0.42436974789915966	1.0	0.5756302521008403
Reedley College	0.7142857142857143	1.0	0.0	0.5	0.8991596638655461	0.39915966386554613
Pasadena City College	0.7142857142857143	1.0	0.0	0.5232487922705313	0.8333333333333334	0.31008454106280203
Canada College	0.7142857142857143	1.0	0.0	0.5217391304347826	0.9411764705882353	0.4194373401534527
Madera Community College	0.7142857142857143	1.0	0.0	0.47515527950310554	0.8991596638655461	0.4240043843624406
College of San Mateo	0.7100840336134454	1.0	0.0	0.5163043478260869	0.8809523809523809	0.364648033126294
Folsom Lake College	0.7100840336134454	1.0	0.12	0.5	0.8250000000000001	0.32500000000000007
De Anza College	0.7049689440993789	1.0	0.17647058823529413	0.4464285714285714	0.9226190476190476	0.47619047619047616
Los Angeles City College	0.7	1.0	0.0	0.33229813664596275	0.8781512605042017	0.5458531238582389
Fullerton College	0.7	1.0	0.0	0.26785714285714285	0.8333333333333334	0.5654761904761905
Orange Coast College	0.6956521739130435	1.0	0.0	0.5	0.8333333333333334	0.33333333333333337
Santa Barbara City College	0.6956521739130435	1.0	0.0	0.4117647058823529	0.9411764705882353	0.5294117647058824
Evergreen Valley College	0.6833333333333333	1.0	0.0	0.48214285714285715	0.9558823529411764	0.47373949579831925
Skyline College	0.6833333333333333	1.0	0.0	0.43925831202046034	0.8511904761904762	0.4119321641700158
Los Angeles Pierce College	0.6818181818181818	1.0	0.0	0.2857142857142857	0.8333333333333334	0.5476190476190477
San Joaquin Delta College	0.6666666666666667	1.0	0.0	0.35	0.9201680672268907	0.5701680672268907
Contra Costa College	0.6666666666666666	1.0	0.0	0.45588235294117646	0.8166666666666667	0.3607843137254902
Glendale Community College	0.6666666666666666	1.0	0.0	0.4087301587301587	0.9761904761904762	0.5674603174603174
Golden West College	0.6666666666666666	1.0	0.0	0.4516806722689075	0.7554945054945055	0.30381383322559796
Crafton Hills College	0.6666666666666666	1.0	0.0	0.3333333333333333	0.9467787114845938	0.6134453781512605
Riverside City College	0.6666666666666666	1.0	0.0	0.30952380952380953	0.8872549019607843	0.5777310924369747
Sierra College	0.6666666666666666	1.0	0.0	0.3	0.8571428571428571	0.5571428571428572
Chabot College	0.6666666666666666	1.0	0.0	0.5	0.7647058823529411	0.2647058823529411
Allan Hancock College	0.6666666666666666	1.0	0.0	0.44397759103641454	0.9080882352941176	0.4641106442577031
Southwestern College	0.6666666666666666	1.0	0.0	0.42436974789915966	0.768796992481203	0.3444272445820434
Cuesta College	0.6666666666666666	1.0	0.0	0.44505494505494503	0.8117647058823529	0.3667097608274079
Merced College	0.6666666666666666	1.0	0.0	0.40588235294117647	1.0	0.5941176470588235
