University	Median coverage	Max coverage	Min coverage	Q1	Q2	IQR
CSUMB	1.0	1.0	0.0	1.0	1.0	0.0
CSUDH	1.0	1.0	0.35294117647058826	0.8235294117647058	1.0	0.17647058823529416
CSUFresno	1.0	1.0	0.0	1.0	1.0	0.0
Chico	1.0	1.0	0.0	0.7857142857142857	1.0	0.2142857142857143
CSUB	1.0	1.0	0.0	0.5	1.0	0.5
CSUSB	1.0	1.0	0.0	1.0	1.0	0.0
Sonoma	0.9411764705882353	1.0	0.0	0.7058823529411765	0.9411764705882353	0.23529411764705876
CPSLO	0.8333333333333334	1.0	0.0	0.6666666666666666	0.8333333333333334	0.16666666666666674
CSUSM	0.8	1.0	0.0	0.5333333333333333	1.0	0.4666666666666667
SFSU	0.7692307692307693	1.0	0.0	0.5384615384615384	0.9423076923076923	0.40384615384615385
UCR	0.7619047619047619	0.9523809523809523	0.0	0.5714285714285714	0.9523809523809523	0.38095238095238093
CSUN	0.7	0.7	0.4	0.7	0.7	0.0
UCD	0.6666666666666666	0.8333333333333334	0.0	0.5	0.8333333333333334	0.33333333333333337
UCM	0.6666666666666666	1.0	0.0	0.5	0.8333333333333334	0.33333333333333337
CSUF	0.6666666666666666	1.0	0.16666666666666666	0.5	0.8333333333333334	0.33333333333333337
UCSB	0.6190476190476191	0.6190476190476191	0.0	0.42857142857142855	0.6190476190476191	0.19047619047619052
CSUEB	0.5882352941176471	0.8571428571428571	0.0	0.23529411764705882	0.8571428571428571	0.6218487394957983
Humboldt	0.5789473684210527	1.0	0.0	0.18421052631578946	0.7105263157894737	0.5263157894736842
SDSU	0.5384615384615384	0.6538461538461539	0.3	0.5384615384615384	0.5384615384615384	0.0
UCSC	0.5277777777777778	0.7222222222222222	0.0	0.2638888888888889	0.7222222222222222	0.4583333333333333
SJSU	0.5	0.7142857142857143	0.0	0.2857142857142857	0.7142857142857143	0.4285714285714286
CPP	0.5	1.0	0.0	0.3	0.7	0.39999999999999997
CSULB	0.42857142857142855	0.9523809523809523	0.0	0.2857142857142857	0.5714285714285714	0.2857142857142857
CSUCI	0.4117647058823529	0.6470588235294118	0.0	0.17647058823529413	0.4117647058823529	0.2352941176470588
CSULA	0.391304347826087	1.0	0.0	0.12	0.7142857142857143	0.5942857142857143
UCSD	0.34782608695652173	0.8695652173913043	0.0	0.17391304347826086	0.5217391304347826	0.34782608695652173
UCI	0.2857142857142857	0.2857142857142857	0.0	0.0	0.2857142857142857	0.2857142857142857
UCB	0.25	0.75	0.0	0.0	0.25	0.25
UCLA	0.0	0.0	0.0	0.0	0.0	0.0
CSUStan	0.0	1.0	0.0	0.0	0.25	0.25
CSUS	0.0	1.0	0.0	0.0	0.6	0.6
