Community College	Median coverage	Max coverage	Min coverage	Q1	Q2	IQR
Las Positas College	1.0	1.0	0.0	0.7272727272727273	1.0	0.2727272727272727
Orange Coast College	1.0	1.0	0.0	0.6111111111111112	1.0	0.38888888888888884
Chabot College	1.0	1.0	0.0	0.7272727272727273	1.0	0.2727272727272727
Cuyamaca College	1.0	1.0	0.0	0.6833333333333333	1.0	0.31666666666666665
Grossmont College	1.0	1.0	0.0	0.6	1.0	0.4
MiraCosta College	1.0	1.0	0.0	0.6	1.0	0.4
Evergreen Valley College	0.9	1.0	0.0	0.7204545454545455	1.0	0.27954545454545454
Los Angeles City College	0.9	1.0	0.0	0.5928571428571429	1.0	0.40714285714285714
Palomar College	0.9	1.0	0.0	0.6527777777777778	1.0	0.3472222222222222
San Joaquin Delta College	0.8928571428571428	1.0	0.0	0.6749999999999999	1.0	0.32500000000000007
College of Alameda	0.8928571428571428	1.0	0.0	0.6166666666666667	1.0	0.3833333333333333
De Anza College	0.8928571428571428	1.0	0.0	0.6027777777777777	1.0	0.39722222222222225
Diablo Valley College	0.8928571428571428	1.0	0.0	0.6749999999999999	1.0	0.32500000000000007
Hartnell College	0.8928571428571428	1.0	0.0	0.6749999999999999	1.0	0.32500000000000007
Sacramento City College	0.8928571428571428	1.0	0.0	0.6749999999999999	1.0	0.32500000000000007
Skyline College	0.8928571428571428	1.0	0.0	0.625	1.0	0.375
Monterey Peninsula College	0.8928571428571428	1.0	0.0	0.6749999999999999	1.0	0.32500000000000007
San Jose City College	0.8928571428571428	1.0	0.0	0.6749999999999999	1.0	0.32500000000000007
Santa Monica College	0.8928571428571428	1.0	0.0	0.625	1.0	0.375
Southwestern College	0.8928571428571428	1.0	0.0	0.6527777777777778	1.0	0.3472222222222222
Moorpark College	0.8928571428571428	1.0	0.0	0.6749999999999999	1.0	0.32500000000000007
Folsom Lake College	0.8928571428571428	1.0	0.0	0.6749999999999999	1.0	0.32500000000000007
East Los Angeles College	0.875	1.0	0.0	0.525	1.0	0.475
Los Angeles Southwest College	0.875	1.0	0.0	0.525	1.0	0.475
College of the Canyons	0.875	1.0	0.0	0.6027777777777777	1.0	0.39722222222222225
