UCB	0.0
UCD	0.0
UCI	0.0
UCSC	0.0
UCSD	0.0
UCR	0.0
UCSB	0.0
UCM	0.013157894736842105
UCLA	0.0
Humboldt	0.043478260869565216
CSUStan	0.0
CSUEB	0.0
CSUMB	0.808695652173913
Sonoma	0.08695652173913043
SFSU	0.0
CSUSM	0.4
CSUDH	0.0
CSUFresno	0.7142857142857143
CSUCI	0.0
CSUS	0.0
SDSU	0.0
SJSU	0.0
CPP	0.0
Chico	0.7217391304347827
CSUN	0.0
CSUB	0.5565217391304348
CSUSB	0.0
CSULB	0.0
CSULA	0.034782608695652174
CSUF	0.0
CPSLO	0.21739130434782608
