University	Median coverage	Max coverage	Min coverage	Q1	Q2	IQR
CSUMB	1.0	1.0	0.16666666666666666	1.0	1.0	0.0
CSUFresno	1.0	1.0	0.2	0.8	1.0	0.19999999999999996
Chico	1.0	1.0	0.0	0.8636363636363636	1.0	0.13636363636363635
CSUB	1.0	1.0	0.0967741935483871	0.7037037037037037	1.0	0.2962962962962963
Sonoma	0.9655172413793104	1.0	0.13793103448275862	0.8275862068965517	0.9655172413793104	0.13793103448275867
CSUSM	0.9	1.0	0.16666666666666666	0.7166666666666667	1.0	0.2833333333333333
CSUDH	0.9	0.9	0.3333333333333333	0.8	0.9	0.09999999999999998
CSUSB	0.896551724137931	0.896551724137931	0.13793103448275862	0.896551724137931	0.896551724137931	0.0
CSUN	0.8181818181818182	0.8181818181818182	0.6363636363636364	0.75	0.8181818181818182	0.06818181818181823
CPSLO	0.8	1.0	0.3	0.8	0.9	0.09999999999999998
UCD	0.7948717948717948	0.8974358974358975	0.11428571428571428	0.6923076923076923	0.8974358974358975	0.20512820512820518
SJSU	0.7407407407407407	0.8518518518518519	0.0	0.5925925925925926	0.8518518518518519	0.2592592592592593
UCM	0.7272727272727273	1.0	0.09090909090909091	0.6363636363636364	0.8181818181818182	0.18181818181818188
SDSU	0.7	0.775	0.5882352941176471	0.7	0.7	0.0
Humboldt	0.68	1.0	0.24	0.36	0.78	0.42000000000000004
SFSU	0.6666666666666666	0.8888888888888888	0.14285714285714285	0.6329365079365079	0.7777777777777778	0.14484126984126988
UCSB	0.6444444444444445	0.6444444444444445	0.08888888888888889	0.5555555555555556	0.6444444444444445	0.0888888888888889
CSUCI	0.6428571428571429	0.7857142857142857	0.14285714285714285	0.5	0.6428571428571429	0.1428571428571429
CSUF	0.6388888888888888	0.8055555555555556	0.08333333333333333	0.4722222222222222	0.7222222222222222	0.25
CSUEB	0.6296296296296297	0.9032258064516129	0.14814814814814814	0.4074074074074074	0.8064516129032258	0.39904420549581837
CSULA	0.5882352941176471	1.0	0.0	0.3055555555555556	0.8125	0.5069444444444444
CSULB	0.5862068965517241	0.9655172413793104	0.0	0.4827586206896552	0.6896551724137931	0.20689655172413796
CPP	0.5806451612903226	0.9032258064516129	0.0	0.45161290322580644	0.7096774193548387	0.2580645161290323
UCSC	0.5178571428571429	0.6428571428571429	0.08928571428571429	0.3482142857142857	0.6428571428571429	0.2946428571428572
UCSD	0.46511627906976744	0.7441860465116279	0.09302325581395349	0.37209302325581395	0.5581395348837209	0.18604651162790697
UCR	0.3902439024390244	0.4878048780487805	0.0	0.2926829268292683	0.4878048780487805	0.1951219512195122
CSUS	0.3793103448275862	0.896551724137931	0.0	0.27586206896551724	0.5862068965517241	0.31034482758620685
UCI	0.36363636363636365	0.36363636363636365	0.06451612903225806	0.1935483870967742	0.36363636363636365	0.17008797653958946
UCLA	0.36363636363636365	0.36363636363636365	0.18181818181818182	0.36363636363636365	0.36363636363636365	0.0
UCB	0.2857142857142857	0.5714285714285714	0.0	0.14285714285714285	0.2857142857142857	0.14285714285714285
CSUStan	0.21739130434782608	0.8695652173913043	0.0	0.13043478260869565	0.4782608695652174	0.34782608695652173
