UC San Diego,"[['MATH 181A - Introduction to Mathematical Statistics I (4.00)'], ['MATH 183 - Statistical Methods (4.00)'], ['ECE 109 - Engineering Probability and Statistics (4.00)'], ['ECON 120A - Econometrics A (4.00)'], ['CSE 103 - A Practical Introduction to Probability and Statistics (4.00)']]"
UC Santa Cruz BA,[['CSE 16 - Applied Discrete Mathematics (5.00)']]
UC Santa Cruz BA,"[['MATH 19A - Calculus for Science, Engineering, and Mathematics (5.00)', 'MATH 19B - Calculus for Science, Engineering, and Mathematics (5.00)'], ['MATH 20A - Honors Calculus (5.00)', 'MATH 20B - Honors Calculus (5.00)']]"
UC Santa Cruz BA,"[['AM 10 - Mathematical Methods for Engineers I (5.00)'], ['MATH 21 - Linear Algebra (5.00)']]"
UC Santa Cruz BS,[['CSE 16 - Applied Discrete Mathematics (5.00)']]
UC Santa Cruz BS,"[['MATH 19A - Calculus for Science, Engineering, and Mathematics (5.00)', 'MATH 19B - Calculus for Science, Engineering, and Mathematics (5.00)'], ['MATH 20A - Honors Calculus (5.00)', 'MATH 20B - Honors Calculus (5.00)']]"
UC Santa Cruz BS,"[['AM 10 - Mathematical Methods for Engineers I (5.00)'], ['MATH 21 - Linear Algebra (5.00)']]"
UC Santa Cruz BS,"[['AM 30 - Multivariate Calculus for Engineers (5.00)'], ['MATH 23A - Vector Calculus (5.00)']]"
UC Santa Barbara,"[['Math 3A, 3B - Calculus with Applications, Courses 1-2 (8.00)']]"
UC Santa Barbara,"[['Math 4A, 4B - Linear Algebra with Applications; Differential Equations (8.00)']]"
UC Santa Barbara,[['Math 6A - Vector Calculus (4.00)']]
UC Santa Barbara,[['PSTAT 120A - Probability and Statistics (4.00)']]
CSU Los Angeles,[['CS 2148 - Discrete Structures (4.00)']]
CSU Los Angeles,[['MATH 2110 - Calculus I (4.00)']]
CSU Los Angeles,[['MATH 2120 - Calculus II (4.00)']]
CSU Los Angeles,[['MATH 2550 - Introduction to Linear Algebra (3.00)']]
CSU Fullerton,[['MATH 150A - Calculus I (4.00)']]
CSU Fullerton,[['MATH 150B - Calculus II (4.00)']]
CSU Fullerton,[['MATH 170A - Mathematical Structures I (3.00)']]
CSU Fullerton,[['MATH 170B - Mathematical Structures II (3.00)']]
CSU Fullerton,[['MATH 338 - Statistics Applied to Natural Sciences (4.00)']]
